pango,root,total_samples,max_descendants,min_descendants,parent_max_descendants,parent_min_descendants,diff,diff_parent,relative_diff,relative_diff_parent
BF.11.1,1288400,81,80,80,81,81,1,0,0.012345679012345678,0.0
BF.11.2,2745613,93,93,93,93,93,0,0,0.0,0.0
BF.11.3,1323963,12,12,12,12,12,0,0,0.0,0.0
BF.11.4,1342177,10,10,10,10,10,0,0,0.0,0.0
BF.11.5,1361498,48,48,48,48,48,0,0,0.0,0.0
BF.12,2744887,19,18,18,19,19,1,0,0.05263157894736842,0.0
BF.13,2744924,315,315,315,315,315,0,0,0.0,0.0
BF.14,1321764,270,269,269,269,269,1,1,0.003703703703703704,0.003703703703703704
BF.15,1324981,38,37,37,38,38,1,0,0.02631578947368421,0.0
BF.16,1267461,93,58,58,93,93,35,0,0.3763440860215054,0.0
BF.17,1339809,2,2,2,2,2,0,0,0.0,0.0
BF.18,1334426,9,7,7,9,9,2,0,0.2222222222222222,0.0
BF.19,1271614,15,15,15,15,15,0,0,0.0,0.0
BF.2,1241821,115,110,110,115,115,5,0,0.043478260869565216,0.0
BF.20,1293437,15,15,15,15,15,0,0,0.0,0.0
BF.21,1240949,1101,1101,1101,1101,1101,0,0,0.0,0.0
BF.22,1377393,1,1,1,1,1,0,0,0.0,0.0
BF.23,1264168,16,16,16,16,16,0,0,0.0,0.0
BF.24,2705276,422,31,31,389,389,391,33,0.9265402843601895,0.07819905213270142
BF.25,1308317,161,155,155,161,161,6,0,0.037267080745341616,0.0
BF.26,1255327,1944,1799,1795,1944,1940,145,0,0.07458847736625514,0.0
BF.27,1243498,1083,1083,1081,1083,1081,0,0,0.0,0.0
BF.28,1189188,1214,1214,1212,1214,1212,0,0,0.0,0.0
BF.29,1356959,12,10,10,12,12,2,0,0.16666666666666666,0.0
BF.3,1296895,130,130,128,130,128,0,0,0.0,0.0
BF.3.1,1295048,14,14,14,14,14,0,0,0.0,0.0
BF.30,1304694,21,21,21,21,21,0,0,0.0,0.0
BF.31,1356955,15,10,10,13,13,5,2,0.3333333333333333,0.13333333333333333
BF.31.1,1405381,7,7,7,7,7,0,0,0.0,0.0
BF.32,1379242,100,100,100,100,100,0,0,0.0,0.0
BF.34,1381702,8,8,8,8,8,0,0,0.0,0.0
BF.36,1255992,124,124,124,124,124,0,0,0.0,0.0
BF.38,1335877,15,6,6,6,6,9,9,0.6,0.6
BF.38.1,1316517,1,1,1,1,1,0,0,0.0,0.0
BF.39,1270107,237,225,225,237,237,12,0,0.05063291139240506,0.0
BF.39.1,1416373,1,1,1,1,1,0,0,0.0,0.0
BF.4,1252176,477,474,474,477,477,3,0,0.006289308176100629,0.0
BF.40,1338695,21,21,21,21,21,0,0,0.0,0.0
BF.41,1284178,68,65,65,68,68,3,0,0.04411764705882353,0.0
BF.41.1,1411823,3,3,3,3,3,0,0,0.0,0.0
BF.5,2739733,2338,2337,2333,2337,2333,1,1,0.000427715996578272,0.000427715996578272
BF.5.1,2722682,5,4,4,5,5,1,0,0.2,0.0
BF.5.4,1343196,1,1,1,1,1,0,0,0.0,0.0
BF.5.5,1287064,32,32,32,32,32,0,0,0.0,0.0
BF.6,1260345,296,295,287,296,288,1,0,0.0033783783783783786,0.0
BF.7,2730766,2129,753,753,1038,1038,1376,1091,0.6463128229215594,0.5124471582902771
BF.7.1,2714318,8,8,8,8,8,0,0,0.0,0.0
BF.7.10,1381596,13,8,8,8,8,5,5,0.38461538461538464,0.38461538461538464
BF.7.11,1386791,17,14,14,14,14,3,3,0.17647058823529413,0.17647058823529413
BF.7.12,2745653,14,9,9,9,9,5,5,0.35714285714285715,0.35714285714285715
BF.7.13,1395649,1,1,0,1,0,0,0,0.0,0.0
BF.7.13.1,1377891,2,2,2,2,2,0,0,0.0,0.0
BF.7.13.2,1413865,5,5,5,5,5,0,0,0.0,0.0
BF.7.14.6,1424516,2,2,2,2,2,0,0,0.0,0.0
BF.7.16,1405856,25,10,10,10,10,15,15,0.6,0.6
BF.7.18,1409138,2,2,2,2,2,0,0,0.0,0.0
BF.7.19,1399958,23,7,7,7,7,16,16,0.6956521739130435,0.6956521739130435
BF.7.19.1,1402493,1,1,1,1,1,0,0,0.0,0.0
BF.7.20,1309206,46,33,33,33,33,13,13,0.2826086956521739,0.2826086956521739
BF.7.21,1326095,78,70,70,72,72,8,6,0.10256410256410256,0.07692307692307693
BF.7.22,1364316,41,41,41,41,41,0,0,0.0,0.0
BF.7.23,1349725,52,32,32,32,32,20,20,0.38461538461538464,0.38461538461538464
BF.7.24,1382304,39,23,23,23,23,16,16,0.41025641025641024,0.41025641025641024
BF.7.26,1342753,10,6,6,6,6,4,4,0.4,0.4
BF.7.27,2745170,79,79,79,79,79,0,0,0.0,0.0
BF.7.3,1383853,13,13,13,13,13,0,0,0.0,0.0
BF.7.4,1299733,453,453,453,453,453,0,0,0.0,0.0
BF.7.4.1,1332500,359,359,358,359,358,0,0,0.0,0.0
BF.7.4.2,1322192,23,23,23,23,23,0,0,0.0,0.0
BF.7.5,1383002,140,140,140,140,140,0,0,0.0,0.0
BF.7.6,1316257,119,119,119,119,119,0,0,0.0,0.0
BF.7.7,1357007,73,73,73,73,73,0,0,0.0,0.0
BF.7.8,2711238,14,11,11,11,11,3,3,0.21428571428571427,0.21428571428571427
